method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
LSTM-Gaussian,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.6175363990468621,,0.5368809804794444,784,,0.09999999999999998,PICP 0.8873 (n=71) vs 0.8612 (n=713); z_iid=-0.613 p_iid=0.5401,1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.31368850557096545,,0.7537576316765278,784,,0.09999999999999998,PICP 0.8475 (n=59) vs 0.8648 (n=725); z_iid=0.374 p_iid=0.7086,1.0,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,regime,t-1 (implementable),8.633547440418205,2.0,0.013342861980891973,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=40.438 (df 7, p=1.038e-06) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",0.09026129867510083,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,transition,t-1 (implementable),0.30488166357992696,1.0,0.5808381178446166,780,transition_exante(t-1),0.04999999999999999,"DQ_full=32.110 (df 6, p=1.555e-05) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",1.0,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,width,t-1 (implementable),5.6224674713947635,1.0,0.01773166780350551,780,log_interval_width,0.04999999999999999,"DQ_full=37.427 (df 6, p=1.453e-06) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",0.09026129867510083,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.4107486682512884,,0.015919814719001578,784,,0.04999999999999999,PICP 0.8976 (n=381) vs 0.9429 (n=403); z_iid=2.349 p_iid=0.01884,0.09026129867510083,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.486670645540754,,0.012894471239300117,784,,0.04999999999999999,PICP 0.9458 (n=332) vs 0.9027 (n=452); z_iid=-2.211 p_iid=0.02703,0.09026129867510083,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.21120867749556427,,0.8327244398261634,784,,0.04999999999999999,PICP 0.9296 (n=71) vs 0.9201 (n=713); z_iid=-0.284 p_iid=0.7768,1.0,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.5080954206556426,,0.6113864265854332,784,,0.04999999999999999,PICP 0.8983 (n=59) vs 0.9228 (n=725); z_iid=0.669 p_iid=0.5033,1.0,7,True
LSTM-Gaussian,0.95,both,DQ incremental,regime,t-1 (implementable),5.820602179962595,2.0,0.05445933024170804,780,"regime_transitional(t-1), regime_crisis(t-1)",0.050000000000000044,"DQ_full=30.651 (df 7, p=7.21e-05) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",0.3812153116919563,7,True
LSTM-Gaussian,0.95,both,DQ incremental,transition,t-1 (implementable),0.06327753955859805,1.0,0.8013886995678778,780,transition_exante(t-1),0.050000000000000044,"DQ_full=24.893 (df 6, p=0.0003573) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
LSTM-Gaussian,0.95,both,DQ incremental,width,t-1 (implementable),0.9366749933850826,1.0,0.33313441779554576,780,log_interval_width,0.050000000000000044,"DQ_full=25.767 (df 6, p=0.000246) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
LSTM-Gaussian,0.95,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.768166270323572,,0.07703311120445641,784,,0.050000000000000044,PICP 0.9003 (n=381) vs 0.9380 (n=403); z_iid=1.941 p_iid=0.05227,0.46219866722673847,7,True
LSTM-Gaussian,0.95,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.7202701353004235,,0.08538334942628689,784,,0.050000000000000044,PICP 0.9398 (n=332) vs 0.9049 (n=452); z_iid=-1.776 p_iid=0.07577,0.46219866722673847,7,True
